Feature Representation,Classifier,Accuracy,Precision,Recall,F1 Score,CV Mean,CV Std
Bag of Words,Naive Bayes,0.84,0.8333,0.8333,0.8333,0.96,0.0374
Bag of Words,Logistic Regression,0.92,0.9167,0.9167,0.9167,0.91,0.0663
Bag of Words,Linear SVM,0.92,0.9167,0.9167,0.9167,0.94,0.0583
TF-IDF Unigram,Naive Bayes,0.84,0.8333,0.8333,0.8333,0.96,0.0374
TF-IDF Unigram,Logistic Regression,0.88,0.8462,0.9167,0.88,0.95,0.0447
TF-IDF Unigram,Linear SVM,0.88,0.8462,0.9167,0.88,0.95,0.0548
TF-IDF Bigram,Naive Bayes,0.88,0.8462,0.9167,0.88,0.96,0.0374
TF-IDF Bigram,Logistic Regression,0.88,0.8462,0.9167,0.88,0.95,0.0447
TF-IDF Bigram,Linear SVM,0.88,0.8462,0.9167,0.88,0.94,0.0583
